"Filename","LineNumber","Line"
"agent.py","61","        # API boundary: SB3 requires float-like numeric arrays."
"agent.py","63","            [float(value) for value in observation], deterministic=deterministic"
"agent.py","73","        # API boundary: SB3 float arrays + policy distribution."
"agent.py","74","        obs_float = [float(value) for value in observation]"
"agent.py","102","    obs_float: list[float],"
"agent.py","107","        import numpy as np  # noqa: I001  # float API boundary"
"agent.py","123","        # float required: torch tensor ??? float ??? Decimal"
"agent.py","124","        prob = float(probs_attr[0][action].item())"
"AGENTS.md","63","| Decimal-only finance | No float in financial paths. |"
"AGENTS.md","81","| **G7** No float | `grep -r ""float"" src/iatb/finance/` | 0 float in financial paths |"
"AGENTS.md","189","| G7 | Float check in financial paths | ?/? | ... |"
"AGENTS.md","210","# G7: No float in financial paths"
"AGENTS.md","352","G7: No float in financial paths"
"breakout_scanner.py","132","        details = f""Score {float(score):.2f} >= {float(healthy_threshold):.2f} threshold"""
"breakout_scanner.py","135","        details = f""Score {float(score):.2f} <= {float(unhealthy_threshold):.2f} threshold"""
"breakout_scanner.py","138","        details = f""Score {float(score):.2f} in neutral range"""
"ccxt_provider.py","69","    if isinstance(value, float):"
"charts.py","70","    figure.add_trace(go.Scatter(y=[float(value) for value in values], name=name))"
"charts.py","85","def _as_float(value: object, field_name: str) -> float:"
"charts.py","86","    return float(_as_decimal(value, field_name))"
"dashboard.py","111","                ""Safe Exit Prob"": f""{float(inst.safe_exit_probability):.2%}"","
"dashboard.py","182","            open=[float(row.get(""open"", 0)) for row in ohlcv_rows],  # type: ignore[arg-type]"
"dashboard.py","183","            high=[float(row.get(""high"", 0)) for row in ohlcv_rows],  # type: ignore[arg-type]"
"dashboard.py","184","            low=[float(row.get(""low"", 0)) for row in ohlcv_rows],  # type: ignore[arg-type]"
"dashboard.py","185","            close=[float(row.get(""close"", 0)) for row in ohlcv_rows],  # type: ignore[arg-type]"
"dashboard.py","207","        float(inst.sentiment_health.score),"
"dashboard.py","208","        float(inst.market_strength_health.score),"
"dashboard.py","209","        float(inst.volume_analysis_health.score),"
"dashboard.py","210","        float(inst.drl_backtest_health.score),"
"dashboard.py","211","        float(inst.safe_exit_probability),"
"decay.py","42","    raw = Decimal(str(math.exp(float(clamped))))  # float required: math.exp API"
"deploy_risk_reward_fix.ps1","107","# Step 6: Check for float in financial paths (G7)"
"deploy_risk_reward_fix.ps1","108","Write-Step ""6"" ""Check for Float in Financial Paths (G7)"""
"deploy_risk_reward_fix.ps1","115","        Write-Result ""PASS"" ""No float in financial paths"""
"deploy_risk_reward_fix.ps1","117","        Write-Result ""FAIL"" ""$floatCount float(s) found in financial paths"""
"deploy_risk_reward_fix.ps1","121","    Write-Result ""FAIL"" ""Float check error: $($_.Exception.Message)"""
"drl_signal.py","93","    exponent = -float(sharpe)  # float required: math.exp API"
"iatb.prompt.md","17","G7 grep float in financial paths ? 0"
"monitor_zerodha_connection.py","55","        type=float,"
"monitor_zerodha_connection.py","275","def _validate_args(*, interval_seconds: float, max_checks: int) -> None:"
"news_scraper.py","76","        rate_limit_seconds: float = 1.0,"
"news_scraper.py","79","        sleep_func: Callable[[float], None] | None = None,"
"normalizer.py","32","    if not isinstance(value, Decimal | int | float | str):"
"normalizer.py","33","        msg = f""{field_name} must be Decimal, int, float, or str"""
"openalgo_provider.py","61","    if isinstance(value, float):"
"optimizer.py","40","        def objective_wrapper(trial: object) -> float:"
"optimizer.py","43","            # API boundary: Optuna objective callbacks operate with float values."
"optimizer.py","44","            return float(score)"
"optimizer.py","126","def _best_value(study: object) -> float:"
"optimizer.py","128","    if not isinstance(value, float | int):"
"optimizer.py","131","    return float(value)"
"quality_gate.ps1","54","# G7: No float in financial paths"
"quality_gate.ps1","57","    if ($floatCount -eq 0) { Write-Gate ""G7"" ""?"" } else { Write-Gate ""G7"" ""?"" ""$floatCount float(s) found""; $allPassed = $false }"
"recency_weighting.py","52","    raw = Decimal(str(math.exp(float(clamped))))  # float required: math.exp API"
"regime_detector.py","57","        feature_matrix = [[float(value) for value in row] for row in features]"
"regime_detector.py","67","    def _fit_model(model: object, feature_matrix: Sequence[Sequence[float]]) -> None:"
"regime_detector.py","74","    def _predict_states(model: object, feature_matrix: Sequence[Sequence[float]]) -> list[int]:"
"run_quality_gates.py","100","    """"""Find float type/literal usage in code via AST (ignores comments/docs)."""""""
"run_quality_gates.py","109","            is_float_type = isinstance(node, ast.Name) and node.id == ""float"""
"run_quality_gates.py","110","            is_float_literal = isinstance(node, ast.Constant) and isinstance(node.value, float)"
"run_quality_gates.py","137","    """"""Run float usage gate for financial paths using AST."""""""
"run_quality_gates.py","138","    gate_name = ""G7 - No Float in Financial Paths"""
"run_quality_gates.py","145","    print_success(""No float found in financial paths (PASS)"")"
"SETUP_COMPLETE.md","190","- **Use `Decimal` for financial calculations** - no float for money"
"test_agent.py","30","    def predict(self, observation: list[float], deterministic: bool = True) -> tuple[int, None]:"
"test_agent.py","92","        def predict(self, observation: list[float], deterministic: bool = True) -> tuple[int, None]:"
"test_clock.py","379","        """"""Test that time calculations don't use float/Decimal."""""""
"test_indicators.py","10","    def rsi(**kwargs: object) -> list[float]:"
"test_indicators.py","15","    def adx(**kwargs: object) -> dict[str, list[float]]:"
"test_indicators.py","20","    def atr(**kwargs: object) -> list[float]:"
"test_indicators.py","25","    def macd(**kwargs: object) -> dict[str, list[float]]:"
"test_indicators.py","30","    def bbands(**kwargs: object) -> dict[str, list[float]]:"
"test_indicators.py","83","        def adx(**kwargs: object) -> dict[str, list[float]]:"
"test_instrument_scanner.py","812","        """"""Test no float is used in financial calculations."""""""
"test_monitor_zerodha_connection.py","237","    sleep_calls: list[float] = []"
"test_news_scraper.py","52","    sleep_calls: list[float] = []"
"test_normalizer.py","109","        with pytest.raises(ValidationError, match=""open must be Decimal, int, float, or str""):"
"test_optimizer.py","27","        self.best_value = float(""-inf"")"
"test_types.py","22","        assert float(price) == 100.50"
"test_types.py","27","        assert float(price) == 100.0"
"test_types.py","32","        assert float(price) == 100.50"
"test_types.py","51","        assert float(quantity) == 50.25"
"test_types.py","56","        assert float(quantity) == 100.0"
"test_types.py","61","        assert float(quantity) == 50.25"
"test_zerodha_connect_script.py","286","    sleep_calls: list[float] = []"
"test_zerodha_connect_script.py","357","    sleep_calls: list[float] = []"
"trailing_stop.py","160","        decay_factor = Decimal(str(math.exp(-float(self._decay) * state.bars_held)))"
"trainer.py","116","    log_metric(""train_mae"", float(train_mae))"
"trainer.py","117","    log_metric(""validation_mae"", float(validation_mae))"
"VERIFICATION_GUIDE.md","112","#### G7 - No Float in Financial Paths"
"VERIFICATION_GUIDE.md","113","- Scans for `float` usage in financial modules"
"VERIFICATION_GUIDE.md","150","  G7 - No Float: ? PASSED"
"verify_risk_reward_enhancements.ps1","93","Write-Host ""  [G7] Checking for float in financial paths..."" -ForegroundColor Gray"
"verify_risk_reward_enhancements.ps1","96","    Write-Host ""  [FAIL] G7: Found 'float' in stop_loss.py"" -ForegroundColor Red"
"verify_risk_reward_enhancements.ps1","99","    Write-Host ""  [OK] G7: No float in financial paths"" -ForegroundColor Green"
"verify_risk_reward_enhancements.ps1","175","Write-Host ""  - G7 (No float): PASS"" -ForegroundColor Green"
"verify_risk_reward_modules.ps1","196","# Step 9: Decimal-only compliance (no float)"
"verify_risk_reward_modules.ps1","201","Write-TestResult ""No float in stop_loss.py"" ($stopLossFloats -eq 0) ""$stopLossFloats occurrences found"""
"verify_risk_reward_modules.ps1","205","Write-TestResult ""No float in reward.py"" ($rewardFloats -eq 0) ""$rewardFloats occurrences found"""
"weight_optimizer.py","53","    def objective(trial: object) -> float:"
"weight_optimizer.py","57","        # Optuna maximizes; float at API boundary."
"weight_optimizer.py","58","        return float(ic_result.ic)"
"weight_optimizer.py","186","def _best_value(study: object) -> float:"
"weight_optimizer.py","188","    if not isinstance(value, float | int):"
"weight_optimizer.py","191","    return float(value)"
"yfinance_provider.py","74","    if isinstance(value, float):"
"zerodha_connect.py","71","        type=float,"
"zerodha_connect.py","183","def _validate_reconnect_settings(*, max_attempts: int, delay_seconds: float) -> None:"
"zerodha_connect.py","198","    delay_seconds: float,"
"zerodha_connection.py","62","        retry_delay_seconds: float = _DEFAULT_RETRY_DELAY_SECONDS,"
"zerodha_connection.py","96","        retry_delay_seconds: float = _DEFAULT_RETRY_DELAY_SECONDS,"
